transaction_id,timestamp,amount,transaction_type,merchant,location,is_foreign,is_high_risk_country,opening_balance,closing_balance,account_id,account_type,account_number,balance,customer_id,name,email,phone,address,dob,created_at,reason
849e5416-2394-471b-b7e3-dcc3281c5672,2025-01-12T16:19:05.280625,3107.03,payment,Todd and Sons,Angelamouth,False,False,19817.8,22924.83,51274302-b181-4f68-a7f9-1331b69c3b2b,credit,WPWT25132719500528,19817.8,85c20cc3-7c6b-49b4-b11e-094922f031b6,Danielle Grimes,lisapeck@example.net,532-578-7747x01687,"47974 Melanie Meadows, West Jessica, WV 53356",1964-02-23,2024-03-02T13:38:58.474697,Unusual withdrawal on credit account
1093947e-bee3-46e3-850f-033db6d6b8f6,2025-02-26T01:16:06.977975,2756.44,withdrawal,"Shah, Mcintyre and Villanueva",Bairdton,False,False,2888.87,132.43,582905e8-e7db-4057-b114-498df8b30ff8,credit,FMUM59184638655779,4934.42,cf99e46f-3b9d-4a1f-a5fd-3d8dd01330bb,Mrs. Hannah Montoya MD,rowejoel@example.net,001-259-762-9233,"4494 Derek Terrace, Sellersview, VI 86470",1947-11-22,2020-01-13T16:36:44.269464,Closing balance < ₹1000
0a7470aa-a120-4d7a-9891-c34f5aff684b,2025-01-24T02:00:02.186852,4824.3,deposit,Banks Ltd,Port Julie,False,False,6366.69,11190.99,6dd069a7-ddfd-4cfe-9f08-d6ca1607ff59,credit,HZTV28272299275037,7728.13,dbf40ada-bedb-486c-ba88-bac3372b8fb3,Brittney Campbell,jenniferharris@example.net,687-440-1640x052,"011 Amy Village Suite 982, Andersonport, MN 05730",2000-05-22,2021-03-21T19:47:29.941374,High transaction amount (>95th percentile)
74314042-d8b7-4330-8789-f7a17b9783d9,2025-01-04T23:32:08.359231,3335.87,withdrawal,Andrews-Alexander,Jackside,False,False,3669.68,333.81,65f03631-8e48-451f-8157-9bedcf08142d,credit,NNBK58303441448850,3669.68,6cb01cfa-2094-4edf-b96c-728d3b341847,John Archer,smithcarlos@example.com,800.368.4866,"1418 Terri Drives, Peterland, ME 92077",1969-01-04,2020-08-06T23:47:36.408801,Closing balance < ₹1000; Unusual withdrawal on credit account
2849f477-5294-45f8-a082-dbc7413a3015,2025-02-13T03:21:11.621001,3879.83,withdrawal,Nguyen PLC,New Alicia,False,False,10497.61,6617.78,609d0353-7e6d-4011-a12f-93f71a821142,credit,ZWOD74773329456255,12324.56,4d2c74a9-6738-4644-90a9-b15a58041152,Teresa Powers,heather62@example.com,(428)873-3427x0866,"1751 Brett Lane, Port Charlesshire, VA 88509",1977-04-07,2022-05-21T23:52:49.967800,Unusual withdrawal on credit account
398c827e-f2d7-452c-8e4e-740b24e0b12e,2025-02-21T03:43:54.820191,308.82,purchase,"Lee, Campbell and Winters",Lake Coreyborough,False,False,333.81,24.99,65f03631-8e48-451f-8157-9bedcf08142d,credit,NNBK58303441448850,3669.68,6cb01cfa-2094-4edf-b96c-728d3b341847,John Archer,smithcarlos@example.com,800.368.4866,"1418 Terri Drives, Peterland, ME 92077",1969-01-04,2020-08-06T23:47:36.408801,Closing balance < ₹1000
282137f2-accd-475f-a136-ab58a8a5c44f,2025-02-11T00:33:19.777502,3043.45,withdrawal,"Perez, Rodriguez and Rollins",South Danielberg,True,False,14098.87,11055.42,1b8817c2-e95b-49ed-ac5f-04bf626ca67a,credit,EBVB34244204380571,14098.87,2f648fc2-7374-4692-ba7c-e83e92e24b13,Brent Burton,parkerscott@example.net,(621)445-6232x858,"5171 Karen Fork Suite 851, Smithside, DE 60110",1964-04-29,2023-03-31T05:28:29.257225,Unusual withdrawal on credit account
6963346c-5635-4a62-9cfc-ec9b10581f43,2025-03-09T05:34:18.186869,4768.19,withdrawal,Figueroa and Sons,West Theresamouth,False,False,88260.2,83492.01,344992a6-6647-41a5-8710-2fab4206090b,savings,PYXO16947225699611,88260.2,b95270cb-77cd-44cb-bc55-7ab2f84eb275,Doris Hall,jacqueline71@example.net,649.436.1832,"9947 Taylor Hollow, Benderhaven, ND 65223",1969-01-11,2020-11-07T15:26:43.421663,High transaction amount (>95th percentile)
dbefd0d7-715a-4441-8ccd-fb19ac08fc39,2025-01-03T21:00:17.960510,3004.05,withdrawal,"Brown, Jones and Gregory",South Cassandra,False,False,75771.25,72767.2,0a931dad-7dfb-481e-a00c-c74f2a08268e,credit,RACZ99488375503758,75771.25,2f648fc2-7374-4692-ba7c-e83e92e24b13,Brent Burton,parkerscott@example.net,(621)445-6232x858,"5171 Karen Fork Suite 851, Smithside, DE 60110",1964-04-29,2024-01-16T07:16:43.671206,Unusual withdrawal on credit account
fff08ac5-4b8d-4bfd-bd9b-da0b23da4af7,2025-01-29T18:14:50.718729,4309.51,deposit,"Morales, Perez and Newton",Lake Meganville,True,True,86016.64,90326.15,61f5da9c-80c1-4dd0-8165-2d175910902d,savings,OZEE69848583339452,90636.58,602587c5-15a6-4a21-a7a6-21ce2252077d,Molly Mcclure,basschristina@example.com,7532773515,"71390 Kristin Gardens, Port Anne, CA 73142",1953-05-08,2025-03-02T19:49:46.952777,Foreign + High-risk country
