transaction_id,timestamp,amount,transaction_type,merchant,location,is_foreign,is_high_risk_country,opening_balance,closing_balance,account_id,account_type,account_number,balance,customer_id,name,email,phone,address,dob,created_at
f5a679ac-4e45-4679-a95c-060d34b024c0,2025-03-23T15:30:44.619959,1534.5,transfer,Fernandez Inc,Finleyfort,False,False,75425.9,73891.4,99311163-628c-454d-9a12-675039d42b10,checking,NNJO42312209949993,75425.9,17553c5d-a129-4c84-9b57-4c040ddfcaad,Michael Miller,brownamy@example.net,598.922.5871,"72867 Angelica Spring Suite 064, Lake Jefferyland, AZ 56035",1962-09-10,2023-02-21T05:42:42.384855
8ac4c173-9ab0-42fe-8fbb-5b188014b1b8,2025-01-12T17:22:54.415349,1722.07,payment,"Donovan, Howard and Maldonado",Brownland,False,False,28613.9,30335.97,2e5fc280-81a7-499c-b433-33d4debbace2,savings,FIZW37280512927663,28613.9,17aa5deb-2df9-4a9c-8960-ee8911684f24,Amy Mendoza,gsimmons@example.com,001-771-815-9212x499,"Unit 8478 Box 9611, DPO AP 85817",1998-12-12,2023-06-24T22:43:08.840263
6fbfbf12-db7a-4f65-8152-c3cfe75248e5,2025-02-05T08:11:42.372538,1358.23,deposit,Miller-Stevens,Deborahburgh,False,False,29094.85,30453.08,c67c2c08-a185-457b-b703-5a816a99281e,savings,ZPFP91940961055661,29094.85,0abd3392-85ad-4a97-aeab-205ccb0990a1,Christopher Owens,wmartinez@example.org,447.341.1249x035,"8044 Anthony Lodge Suite 883, South Curtisberg, DE 02068",1943-06-16,2024-07-31T05:39:43.561997
a5209464-c095-40a6-ad03-94b922e8d908,2025-02-23T15:14:56.954968,602.18,withdrawal,Guerrero-Evans,Mosleystad,False,False,53365.13,52762.95,a6ed0b53-ae4b-44a3-9b6e-42cfc78f7301,credit,MYGN88725887449562,53365.13,b2e9c675-c8d7-498f-9ccc-ad4bbcfe6028,Leah Cruz,iedwards@example.org,513-889-9940x438,"76137 Allison Bridge, Sarahberg, MS 74999",1967-11-18,2024-07-02T18:55:31.772055
c439218c-e52f-4c03-ada4-d94764b770ef,2025-02-17T01:26:53.193052,3694.33,transfer,"Kim, Lopez and Johnson",Lake Wendybury,False,False,52762.95,49068.62,a6ed0b53-ae4b-44a3-9b6e-42cfc78f7301,credit,MYGN88725887449562,53365.13,b2e9c675-c8d7-498f-9ccc-ad4bbcfe6028,Leah Cruz,iedwards@example.org,513-889-9940x438,"76137 Allison Bridge, Sarahberg, MS 74999",1967-11-18,2024-07-02T18:55:31.772055
d19be124-4ed6-4e24-ad2c-e4c428b03424,2025-02-17T07:47:01.216221,1484.75,transfer,Sparks Ltd,Victormouth,False,False,73093.15,71608.4,6d07315b-831a-41cb-8100-cb10283531c2,checking,LHGV55543987801573,73093.15,a130f765-1188-4e93-a8f2-07d9e47e760e,Lauren Williams,barnesbrandy@example.net,343-353-4624x75107,"51354 Samuel Plains Suite 980, Sarahville, FM 18102",1957-03-31,2024-10-06T00:12:18.062745
57a49bf6-143d-481e-8fa7-3e7a68cbd448,2025-04-04T11:57:42.262516,637.28,payment,Johnson Inc,Kristinton,True,False,45918.65,46555.93,b84fbcf4-f15e-4fc5-be86-314eb3270a71,savings,UZBM48909010016761,45918.65,f891cd7c-e9b9-465e-a22e-694c2f3b08a0,Ashley Bird,shawn88@example.com,(687)443-1527,"9329 Wilcox Passage Suite 161, East Thomas, IA 01396",1956-12-30,2022-11-18T19:47:16.118961
d986b996-93d8-4966-abfc-eb4b510a84fa,2025-02-09T05:24:41.783969,517.43,deposit,Roman Ltd,Bentleyside,True,False,1213.38,1730.81,3411568a-c7cd-4eae-a3b8-2931463f8399,checking,XXLG68222394312908,1213.38,292d8c66-4b19-41d8-88ac-d9e52c457836,Morgan Munoz,davissuzanne@example.net,001-604-490-2787,"Unit 6717 Box 5655, DPO AP 14211",1997-08-03,2022-06-06T08:24:44.159163
3e6616a6-ab90-4033-979a-ecb7a844f5ec,2025-01-15T09:48:18.280603,925.9,withdrawal,"Hall, Jones and Moss",Valdezfort,True,False,75594.04,74668.14,b9a89881-dd0f-4b3c-bad9-5c530bd45773,checking,CTTA38498302205020,75594.04,e85e509c-0713-437a-b649-4c5b90078330,Donald Horne,fitzgeraldvictor@example.com,+1-514-347-3947,"2715 Mckinney Plaza, Patriciaburgh, VT 93504",2002-04-27,2023-07-07T02:56:16.875628
03ef7cff-8303-42b5-b3e5-2a18af0e960e,2025-03-29T18:04:19.057336,2006.53,purchase,"Williams, Haynes and Anderson",Lake Brendan,True,False,99928.96,97922.43,cb4a546c-42ef-4f46-8391-65bd6df7542f,credit,OUMN50618091901581,99928.96,a5da3d42-dc98-45fa-88fb-6a7dae0872d3,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-20,2021-07-11T13:37:43.403423
487d2e98-6a5f-481c-8620-6a18cdd976a5,2025-01-30T17:30:09.578974,4056.65,transfer,Bryant and Sons,Port Lisaville,False,False,7728.13,3671.48,6dd069a7-ddfd-4cfe-9f08-d6ca1607ff59,credit,HZTV28272299275037,7728.13,dbf40ada-bedb-486c-ba88-bac3372b8fb3,Brittney Campbell,jenniferharris@example.net,687-440-1640x052,"011 Amy Village Suite 982, Andersonport, MN 05730",2000-05-22,2021-03-21T19:47:29.941374
befa453c-02a3-408b-bc71-533504093eb8,2025-02-18T02:08:57.920946,2792.57,purchase,"Walker, Brock and Simmons",Nguyenshire,False,False,36014.18,33221.61,cb5a8716-8da8-47ed-bb82-d34a7f3583a3,savings,ZPJI89061203471754,36014.18,4d85be1c-9942-4a2d-ac05-22916e4eec0c,Craig Morales,aguilarjonathan@example.org,9132721510,"670 Vega Extensions Suite 324, Seanberg, AZ 80993",1981-05-14,2021-11-25T09:27:29.845545
bab08e88-6733-460e-b30b-45395bcef71c,2025-02-22T19:18:19.330663,2255.32,deposit,Copeland-Mcguire,New Glennland,False,False,77475.61,79730.93,0e9403f7-2166-45a1-ba2c-0a8425d9cf06,credit,QMEJ05800851403696,77475.61,631ab276-d46f-4afc-8135-eed5b4e9c694,Stephanie Salazar,jrivas@example.com,(677)943-4873,"45581 Edward Lights Apt. 316, Riveramouth, MT 08662",1953-04-30,2023-04-17T17:52:13.211865
849e5416-2394-471b-b7e3-dcc3281c5672,2025-01-12T16:19:05.280625,3107.03,payment,Todd and Sons,Angelamouth,False,False,19817.8,22924.83,51274302-b181-4f68-a7f9-1331b69c3b2b,credit,WPWT25132719500528,19817.8,85c20cc3-7c6b-49b4-b11e-094922f031b6,Danielle Grimes,lisapeck@example.net,532-578-7747x01687,"47974 Melanie Meadows, West Jessica, WV 53356",1964-02-23,2024-03-02T13:38:58.474697
29f2274f-f9fe-45e6-a3a5-ae13f963b54f,2025-01-24T13:38:09.792130,1326.91,transfer,"Williams, Garcia and Boone",Stricklandtown,True,False,63789.56,62462.65,779bc97d-6ce8-45dc-b75d-4334064454be,credit,AFCI65669380118489,63789.56,d13ba036-8d30-427d-ad6a-3a7fa3e530f4,Stephanie Byrd,charleslandry@example.net,664-674-3671x3695,"0909 Wall Heights Apt. 953, New John, WV 94994",1991-06-14,2021-10-31T15:24:18.107535
7e6aaef9-3dce-424a-a192-aaaba139f9da,2025-03-27T02:06:30.352174,2045.55,purchase,Smith and Sons,Lake Deniseport,False,False,4934.42,2888.87,582905e8-e7db-4057-b114-498df8b30ff8,credit,FMUM59184638655779,4934.42,cf99e46f-3b9d-4a1f-a5fd-3d8dd01330bb,Mrs. Hannah Montoya MD,rowejoel@example.net,001-259-762-9233,"4494 Derek Terrace, Sellersview, VI 86470",1947-11-22,2020-01-13T16:36:44.269464
c26dc153-fa1a-4dce-8be5-aff4494ddc5b,2025-02-10T06:17:08.584669,1161.22,purchase,Schwartz-Harris,Alexandrachester,False,False,87826.8,86665.58,696867da-df4c-4041-b82e-92c3f6ac11d1,savings,EWOX03120735647570,87826.8,b6378f59-eca7-449a-b3fd-99fe6b8543c1,Julie King,frazierdanny@example.net,001-645-514-6270x48281,"809 Burns Creek, Natashaport, IA 08093",1955-08-23,2021-09-27T07:26:06.988755
